Time_on_Diet,mean,50%,group
6,2.8606000000000003,2.808,Male Control
8,2.8895000000000004,2.5435,Male Control
9,1.707,1.8245,Male Control
11,2.8466,2.917,Male Control
14,3.0232,3.235,Male Control
15,2.491888888888889,2.41,Male Control
22,2.38825,2.488,Male Control
6,3.0774,3.012,Male HF
8,4.619285714285714,4.483499999999999,Male HF
9,3.381,2.862,Male HF
11,4.4722,4.71,Male HF
14,4.4018,5.092,Male HF
15,4.6723,5.172499999999999,Male HF
22,4.6968000000000005,4.234,Male HF
6,2.7802,2.734,Female Control
8,2.9893,2.87,Female Control
9,1.6775000000000002,1.813,Female Control
11,2.7566,2.238,Female Control
14,3.056,3.051,Female Control
15,2.409111111111111,1.943,Female Control
22,2.5472222222222225,1.919,Female Control
6,2.2463999999999995,2.135,Female HF
8,3.4765,2.9105,Female HF
9,3.45125,3.1655,Female HF
11,3.6194,3.477,Female HF
14,4.9616,5.096,Female HF
15,3.8372222222222216,3.5,Female HF
22,4.539666666666666,3.91,Female HF
