Diet,Time_on_Diet,count,mean,std,min,25%,50%,75%,max
Control,6,5.0,2.7802,0.3862378800687471,2.232,2.713,2.734,2.923,3.299
Control,8,10.0,2.9893,0.9259586083861656,1.863,2.225,2.87,3.5865,4.678
Control,9,4.0,1.6775000000000002,0.5984805761259091,0.84,1.50375,1.813,1.98675,2.244
Control,11,5.0,2.7566,1.0106068968694009,2.135,2.217,2.238,2.667,4.526
Control,14,5.0,3.056,0.4326586414253158,2.39,2.974,3.051,3.346,3.519
Control,15,9.0,2.409111111111111,1.0617397803186577,1.391,1.803,1.943,2.78,4.782
Control,22,9.0,2.5472222222222225,0.8963684758203204,1.674,1.829,1.919,3.146,4.023
HF,6,5.0,2.2463999999999995,0.5646629968397079,1.732,1.91,2.135,2.268,3.187
HF,8,10.0,3.4765,1.568891700107648,1.536,2.60675,2.9105,4.1245,6.18
HF,9,4.0,3.45125,1.094193272080699,2.567,2.63075,3.1655,3.986,4.907
HF,11,5.0,3.6194,0.4897584098308064,3.151,3.203,3.477,4.036,4.23
HF,14,5.0,4.9616,1.3091418181388903,3.055,4.774,5.096,5.152,6.731
HF,15,9.0,3.8372222222222216,1.17786319003713,2.732,3.122,3.5,4.065,6.491
HF,22,9.0,4.539666666666666,1.0192504598968797,3.6,3.795,3.91,5.334,6.113
